id,birdName,Kingdom,Phylum,Class,Order,Family,Genus,Species
1,Black_footed_Albatross,Animalia,Chordata,Aves,Procellariiformes,Diomedeidae,Phoebastria,P.?nigripes
10,Red_winged_Blackbird,Animalia,Chordata,Aves,Passeriformes,Icteridae,Agelaius,A.?phoeniceus
100,Brown_Pelican,Animalia,Chordata,Aves,Pelecaniformes,Pelecanidae,Pelecanus,P.?occidentalis
102,Western_Wood_Pewee,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Contopus,C.?sordidulus
106,Horned_Puffin,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Fratercula,F.?corniculata
108,White_necked_Raven,Animalia,Chordata,Aves,Passeriformes,Corvidae,Corvus,C.?albicollis
11,Rusty_Blackbird,Animalia,Chordata,Aves,Passeriformes,Icteridae,Euphagus,E.?carolinus
111,Loggerhead_Shrike,Animalia,Chordata,Aves,Passeriformes,Laniidae,Lanius,L.?ludovicianus
112,Great_Grey_Shrike,Animalia,Chordata,Aves,Passeriformes,Laniidae,Lanius,L.?excubitor
114,Black_throated_Sparrow,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Amphispiza,A.?bilineata
116,Chipping_Sparrow,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Spizella,S.?passerina
117,Clay_colored_Sparrow,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Spizella,S.?pallida
119,Field_Sparrow,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Spizella,S.?pusilla
12,Yellow_headed_Blackbird,Animalia,Chordata,Aves,Passeriformes,Icteridae,Xanthocephalus,X.?xanthocephalus
120,Fox_Sparrow,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Passerella,P.?iliaca
121,Grasshopper_Sparrow,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Ammodramus,A.?savannarum
127,Savannah_Sparrow,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Passerculus,P.?sandwichensis
128,Seaside_Sparrow,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Ammodramus,A.?maritimus
129,Song_Sparrow,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Melospiza,M.?melodia
13,Bobolink,Animalia,Chordata,Aves,Passeriformes,Icteridae,Dolichonyx,D.?oryzivorus
131,Vesper_Sparrow,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Pooecetes,P.?gramineus
132,White_crowned_Sparrow,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Zonotrichia,Z.?leucophrys
133,White_throated_Sparrow,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Zonotrichia,Z.?albicollis
